title,originallink,link,description,pubDate
길어진 여름에 독해진 ‘꽃가루’,https://www.ichannela.com/news/main/news_detailPage.do?publishId=000000524049,https://n.news.naver.com/mnews/article/449/0000341704?sid=102,갑자기 더워진 <b>날씨</b>에도 마스크 쓰고 다니는 분들 많이 볼 수 있는데요. 꽃가루 알레르기 때문이라죠. 지구... &quot; 초여름 같은 <b>날씨</b>에 꽃가루 농도가 짙어지면서 마스크를 써도 외출하기가 고역입니다. [오정분 / 서울... ,"Tue, 14 Apr 2026 19:46:00 +0900"
아직 4월인데 &quot;너무 더워&quot;…올여름 벌써 걱정하는 이유,https://news.jtbc.co.kr/article/NB12294188?influxDiv=NAVER,https://n.news.naver.com/mnews/article/437/0000487379?sid=102,"{앉아 있으니까 등이 좀 따가워요.}] 때아닌 무더운 <b>날씨</b>에 맨발 차림으로 물에 발을 담그고, 시원한 음료로 열기를 달랩니다. [이달근/경기 파주시 운정동 : 아직 봄이잖아요. 봄에 완전히 이제 여름 <b>날씨</b>가 되어버린... ","Tue, 14 Apr 2026 19:45:00 +0900"
[<b>날씨</b>] 경남 오늘 밤까지 남해안 비…내일 오전부터 맑아져,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8535676&ref=A,https://n.news.naver.com/mnews/article/056/0012162163?sid=103,,"Tue, 14 Apr 2026 19:39:00 +0900"
"[퇴근길 <b>날씨</b>] 내륙, 때 이른 더위…서울 한낮 26도",https://news.kbs.co.kr/news/pc/view/view.do?ncd=8535673&ref=A,https://n.news.naver.com/mnews/article/056/0012162158?sid=103,금요일에는 충청과 남부지방에 비가 내리겠습니다. 당분간 아침과 낮의 기온 차이가 10도 이상 크게 벌어지는 날이 많겠습니다. <b>날씨</b> 정보 전해드렸습니다. 최현미 기상캐스터/그래픽:김지은,"Tue, 14 Apr 2026 19:38:00 +0900"
"[뉴스초대석] “봄꽃·산나물·전통문화 중심…경북도, ‘참여형 축제’...",https://news.kbs.co.kr/news/pc/view/view.do?ncd=8535667&ref=A,https://n.news.naver.com/mnews/article/056/0012162164?sid=101,"[앵커] 완연한 봄 <b>날씨</b>가 이어지며 지역마다 봄 축제가 열리고 있습니다. 지난해 큰 산불 피해를 입었던 경북지역 시군도 축제를 다시 열며 경기 활성화에 나서고 있는데요. 뉴스초대석, 오늘은 경상북도 박찬우... ","Tue, 14 Apr 2026 19:36:00 +0900"
"노량진뉴타운 재개발…DL이앤씨, ‘아크로 리버스카이’ 5월 분양",https://www.dailian.co.kr/news/view/1633560/?sc=Naver,https://n.news.naver.com/mnews/article/119/0003080598?sid=101,"복층형으로 조성되는 실내체육관에서는 <b>날씨</b>와 상관없이 피트니스, 골프 등을 즐길 수 있다. 단지 분양 관계자는 “아크로 리버스카이는 노량진뉴타운에서도 교통과 교육을 모두 갖춘 입지라 주거 환경이... ","Tue, 14 Apr 2026 19:35:00 +0900"
[한국컵] 인구 5만 시골 마을이 '떠들썩'… 꿈나무들 신나게 치고 달려,http://www.hansbiz.co.kr/news/articleView.html?idxno=832886,http://www.hansbiz.co.kr/news/articleView.html?idxno=832886,화창한 <b>날씨</b> 속에서 순조롭게 진행됐다. 최고 기온 20도를 웃도는 가운데 서천군 곳곳에 벚꽃이 만개해 축제 분위기를 더했다. 대회 기간 현장을 찾은 한대화(66) 전 한화 감독은 &quot;지난해에는 서천군의 <b>날씨</b>가 좋지... ,"Tue, 14 Apr 2026 19:34:00 +0900"
"다음 기회가 또 있을까? 아쿼 영입 실패인가, 3연속 패전 위기[인천 현장...",https://www.sportschosun.com/baseball/2026-04-14/202604140100096450006215,https://m.sports.naver.com/kbaseball/article/076/0004395514,"추운 <b>날씨</b>와 ABS 적응, 한국 타자들과의 승부 등 적응하는 기간이라고 생각하고, 세번째 등판에서 다시 희망을 걸었다. 타케다는 이날 두산을 상대로 따뜻한 <b>날씨</b> 속에 등판했다. 이숭용 감독도 &quot;본인도 변화를 주려고... ","Tue, 14 Apr 2026 19:32:00 +0900"
"[내일<b>날씨</b>] 한낮은 여름, 아침은 쌀쌀…15도 안팎 일교차",https://www.ajunews.com/view/20260414192049845,https://www.ajunews.com/view/20260414192049845,com 때 이른 초여름 <b>날씨</b>를 보인 13일 경기도 안산시 노적봉 폭포공원을 찾은 시민들이 시원하게... [사진=연합뉴스] 15일은 전국적으로 낮 기온이 25도 안팎까지 오르며 초여름을 연상케 하는 따뜻한 <b>날씨</b>가 이어질... ,"Tue, 14 Apr 2026 19:28:00 +0900"
"봄철 양봉농장, 벌꿀 풍년을 기대하는 주인 [포토뉴스]",https://www.kyeonggi.com/article/20260414580541,https://n.news.naver.com/mnews/article/666/0000103282?sid=102,수원특례시 광교동 한 양봉 농장에서 주인이 꿀벌 늘리기 작업을 하고 있다. 주인은 “지난해 꿀벌이 집단 폐사해 꿀 생산량이 크게 줄었다”며 “올봄은 아직까지 <b>날씨</b>가 좋아 많은 양의 벌꿀 수확이 기대된다”고 말했다.,"Tue, 14 Apr 2026 19:27:00 +0900"
"[경일춘추]'축제'라는 미니시리즈, 그리고 다큐멘터리의 시간",https://www.gnnews.co.kr/news/articleView.html?idxno=634895,https://www.gnnews.co.kr/news/articleView.html?idxno=634895,세밀한 계산으로 짜놓은 시간과 동선이 예상치 못한 딜레이와 <b>날씨</b>의 변덕 등으로 틀어지기 때문이다. 리허설에서는 완벽했던 순서나 시간이 실연에서 흔들릴 때 기획자들의 머리와 손에서는 식은땀이 흐른다. 인터컴... ,"Tue, 14 Apr 2026 19:24:00 +0900"
[<b>날씨</b>] 내일도 서쪽 중심 초여름...서울 낮 26도,https://www.ytn.co.kr/_ln/0108_202604141924410317,https://n.news.naver.com/mnews/article/052/0002340767?sid=103,"내일도 맑은 <b>날씨</b> 속에 서울 낮 기온이 26도, 대전과 광주 25도까지 오르는 등 서쪽 지역에서초여름 <b>날씨</b>가 이어지겠습니다. 다만 기온이 오르는 만큼 일교차가 크게 벌어지겠고, 강릉 낮 기온이 16도에 그치는 등 동해안... ","Tue, 14 Apr 2026 19:24:00 +0900"
"대한노인회 충남연합회, 제2회 충남노인건강대축제 성료",https://www.100ssd.co.kr/news/articleView.html?idxno=208180,https://www.100ssd.co.kr/news/articleView.html?idxno=208180,"화창한 <b>날씨</b> 속에 펼쳐진 개회식은 조권형 홍성군지회장의 개회선언을 시작으로 우승기 반환, 선수‧심판대표(이건자 선수, 윤여성 심판) 선서 순으로 진행됐다. 지난해에는 공주시지회가 게이트볼에서 연합회장기를... ","Tue, 14 Apr 2026 19:20:00 +0900"
"&quot;갈 때 가더라도, 담배는 안 돼&quot;…원주시 패러디 홍보 '주목'",https://www.news1.kr/local/kangwon/6136471,https://n.news.naver.com/mnews/article/421/0008889614?sid=102,"주인공이 담뱃불을 붙이며 '산에 가기 딱 좋은 <b>날씨</b>네'라고 말하자, 진화대원들이 주인공에게 물을 뿌리는 모습도 담겼다. 이와 함께 영상에서는 봄철 산불 조심기간 홍보 내용과 산림 인접 지역에서 불법 소각 시 최대... ","Tue, 14 Apr 2026 19:18:00 +0900"
오늘의 <b>날씨</b>- 2026년 4월 15일,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20260415.22016004140,https://n.news.naver.com/mnews/article/658/0000141050?sid=103,"15일 부산 경남 울산 아침 최저기온은 8~13도, 낮 최고기온은 20~25도로 예보됐다. 경남내륙은 일교차 15도 안팎. 초미세먼지 좋음 미세먼지 좋음","Tue, 14 Apr 2026 19:14:00 +0900"
[<b>날씨</b>] 4월 15일(수) &quot;차차 맑아짐&quot;,https://www.imaeil.com/page/view/2026041419045535191,https://n.news.naver.com/mnews/article/088/0001005608?sid=102,,"Tue, 14 Apr 2026 19:06:00 +0900"
[오늘의 광주·전남 <b>날씨</b>]초여름 <b>날씨</b>…햇볕 '쨍쨍',https://www.namdonews.com/news/articleView.html?idxno=907502,https://www.namdonews.com/news/articleView.html?idxno=907502,"15일 광주·전남은 맑고 초여름 같은 <b>날씨</b>가 이어질 전망이다. 광주지방기상청에 따르면 이날 아침 최저기온은 9~13도, 낮 최고기온은 18~25도로 예보됐다. 당분간 기온은 평년을 웃돌 예정이다. 낮과 밤의 기온차는 최대... ","Tue, 14 Apr 2026 19:06:00 +0900"
"[<b>날씨</b>] 중부 중심 초여름 더위, 큰 일교차…내일 흐리고 제주 비",http://www.yonhapnewstv.co.kr/MYH20260414190229OZU,https://n.news.naver.com/mnews/article/422/0000855029?sid=103,"여름 반소매 차림이 어울리는 이 <b>날씨</b>는, 고기압의 영향 아래 드러난 쾌청한 하늘 아래 내리쬐는 강한 볕의... 메마른 <b>날씨</b> 속 화재 나지 않도록 불조심하셔야겠습니다. 금요일에는 충청 이남에 비가 내리겠습니다. <b>날씨</b>... ","Tue, 14 Apr 2026 19:03:00 +0900"
"포항남부소방서, 봄철",https://www.hidomin.com/news/articleView.html?idxno=701417,https://www.hidomin.com/news/articleView.html?idxno=701417,포항남부소방서가 건조한 <b>날씨</b>와 강풍으로 화재 발생 위험이 높아지는 시기를 맞아 시민들의 안전의식 제고에 나섰다. 지난 8일 포항남부소방서는 효자여성의용소방대와 합동으로 산불 및 대형 화재 예방을 위한 가두... ,"Tue, 14 Apr 2026 19:00:00 +0900"
"대한민국 장애인양궁 대표팀, 국제대회서 세계 최강 위상 입증",https://www.kyeonggi.com/article/20260414580523,https://m.sports.naver.com/general/article/666/0000103278,고 회장은 “무더운 <b>날씨</b>와 치열한 경쟁 속에서도 끝까지 집중력을 유지한 선수들에게 깊이 감사한다”며 “앞으로도 선수들이 국제무대에서 안정적으로 기량을 발휘할 수 있도록 지속적인 지원을 아끼지 않겠다”고... ,"Tue, 14 Apr 2026 18:57:00 +0900"
